timestamp,pid,cpu_percent,mem_percent,mem_mb,uptime_sec
2026-01-30 13:38:48,1928146,10.3,0.0,7,2,      3
2026-01-30 13:38:51,1928146,6.5,0.0,7,2,      5
2026-01-30 13:38:53,1928146,4.7,0.0,7,2,      7
2026-01-30 13:38:55,1928146,3.7,0.0,7,2,      9
2026-01-30 13:38:57,1928146,3.1,0.0,7,2,     11
2026-01-30 13:38:59,1928146,2.6,0.0,7,2,     14
2026-01-30 13:39:01,1928146,2.3,0.0,7,2,     16
2026-01-30 13:39:03,1928146,3.0,0.0,7,4,     18
2026-01-30 13:39:05,1928146,3.4,0.0,7,5,     20
2026-01-30 13:39:07,1928146,3.1,0.0,7,5,     22
2026-01-30 13:39:09,1928146,2.9,0.0,7,5,     24
2026-01-30 13:39:11,1928146,2.6,0.0,7,5,     26
2026-01-30 13:39:14,1928146,2.4,0.0,7,5,     28
2026-01-30 13:39:16,1928146,2.3,0.0,7,5,     30
2026-01-30 13:39:18,1928146,2.1,0.0,7,5,     32
2026-01-30 13:39:20,1928146,2.4,0.0,7,6,     34
2026-01-30 13:39:22,1928146,2.8,0.0,7,8,     37
2026-01-30 13:39:24,1928146,2.7,0.0,7,8,     39
2026-01-30 13:39:26,1928146,2.5,0.0,7,8,     41
2026-01-30 13:39:28,1928146,2.4,0.0,7,8,     43
2026-01-30 13:39:30,1928146,2.3,0.0,7,8,     45
2026-01-30 13:39:32,1928146,2.2,0.0,7,8,     47
2026-01-30 13:39:34,1928146,2.1,0.0,7,8,     49
2026-01-30 13:39:37,1928146,2.2,0.0,7,9,     51
2026-01-30 13:39:39,1928146,2.6,0.0,8,1,     53
2026-01-30 13:39:41,1928146,2.5,0.0,8,1,     55
2026-01-30 13:39:43,1928146,2.4,0.0,8,1,     57
2026-01-30 13:39:45,1928146,2.3,0.0,8,1,     60
2026-01-30 13:39:47,1928146,2.2,0.0,8,1,     62
2026-01-30 13:39:49,1928146,2.1,0.0,8,1,     64
2026-01-30 13:39:51,1928146,2.1,0.0,8,1,     66
2026-01-30 13:39:53,1928146,2.1,0.0,8,1,     68
2026-01-30 13:39:55,1928146,2.4,0.0,8,3,     70
2026-01-30 13:39:57,1928146,2.4,0.0,8,3,     72
2026-01-30 13:40:00,1928146,2.3,0.0,8,3,     74
2026-01-30 13:40:02,1928146,2.2,0.0,8,3,     76
2026-01-30 13:40:04,1928146,2.2,0.0,8,3,     78
2026-01-30 13:40:06,1928146,2.1,0.0,8,3,     80
2026-01-30 13:40:08,1928146,2.1,0.0,8,3,     83
2026-01-30 13:40:10,1928146,2.0,0.0,8,3,     85
2026-01-30 13:40:12,1928146,2.4,0.0,8,6,     87
2026-01-30 13:40:14,1928146,2.3,0.0,8,6,     89
2026-01-30 13:40:16,1928146,2.2,0.0,8,6,     91
2026-01-30 13:40:18,1928146,2.2,0.0,8,6,     93
2026-01-30 13:40:20,1928146,2.1,0.0,8,6,     95
2026-01-30 13:40:23,1928146,2.1,0.0,8,6,     97
2026-01-30 13:40:25,1928146,2.1,0.0,8,6,     99
2026-01-30 13:40:27,1928146,2.0,0.0,8,6,    101
2026-01-30 13:40:29,1928146,2.3,0.0,8,9,    103
2026-01-30 13:40:31,1928146,2.3,0.0,8,9,    106
2026-01-30 13:40:33,1928146,2.2,0.0,8,9,    108
2026-01-30 13:40:35,1928146,2.2,0.0,8,9,    110
2026-01-30 13:40:37,1928146,2.1,0.0,8,9,    112
2026-01-30 13:40:39,1928146,2.1,0.0,8,9,    114
2026-01-30 13:40:41,1928146,2.1,0.0,8,9,    116
2026-01-30 13:40:43,1928146,2.0,0.0,8,9,    118
2026-01-30 13:40:46,1928146,2.2,0.0,9,1,    120
2026-01-30 13:40:48,1928146,2.2,0.0,9,2,    122
2026-01-30 13:40:50,1928146,2.2,0.0,9,2,    124
2026-01-30 13:40:52,1928146,2.2,0.0,9,2,    127
2026-01-30 13:40:54,1928146,2.1,0.0,9,2,    129
2026-01-30 13:40:56,1928146,2.1,0.0,9,2,    131
2026-01-30 13:40:58,1928146,2.1,0.0,9,2,    133
2026-01-30 13:41:00,1928146,2.0,0.0,9,2,    135
2026-01-30 13:41:02,1928146,2.2,0.0,9,4,    137
2026-01-30 13:41:04,1928146,2.2,0.0,9,4,    139
2026-01-30 13:41:07,1928146,2.2,0.0,9,4,    141
2026-01-30 13:41:09,1928146,2.1,0.0,9,4,    143
2026-01-30 13:41:11,1928146,2.1,0.0,9,4,    145
2026-01-30 13:41:13,1928146,2.1,0.0,9,4,    147
2026-01-30 13:41:15,1928146,2.1,0.0,9,4,    150
2026-01-30 13:41:17,1928146,2.0,0.0,9,4,    152
2026-01-30 13:41:19,1928146,2.1,0.0,9,7,    154
2026-01-30 13:41:21,1928146,2.2,0.0,9,7,    156
2026-01-30 13:41:23,1928146,2.2,0.0,9,7,    158
2026-01-30 13:41:25,1928146,2.1,0.0,9,7,    160
2026-01-30 13:41:27,1928146,2.1,0.0,9,7,    162
2026-01-30 13:41:29,1928146,2.1,0.0,9,7,    164
2026-01-30 13:41:32,1928146,2.1,0.0,9,7,    166
2026-01-30 13:41:34,1928146,2.0,0.0,9,7,    168
2026-01-30 13:41:36,1928146,2.0,0.0,10,4,    170
2026-01-30 13:41:38,1928146,2.0,0.0,10,4,    172
2026-01-30 13:41:40,1928146,2.0,0.0,10,4,    175
2026-01-30 13:41:42,1928146,1.9,0.0,10,4,    177
2026-01-30 13:41:44,1928146,1.9,0.0,10,4,    179
2026-01-30 13:41:46,1928146,1.9,0.0,10,4,    181
2026-01-30 13:41:48,1928146,1.9,0.0,10,4,    183
2026-01-30 13:41:50,1928146,1.9,0.0,10,5,    185
2026-01-30 13:41:52,1928146,2.0,0.0,10,7,    187
2026-01-30 13:41:55,1928146,2.0,0.0,10,7,    189
2026-01-30 13:41:57,1928146,2.0,0.0,10,7,    191
2026-01-30 13:41:59,1928146,1.9,0.0,10,7,    193
2026-01-30 13:42:01,1928146,1.9,0.0,10,7,    195
2026-01-30 13:42:03,1928146,1.9,0.0,10,7,    198
2026-01-30 13:42:05,1928146,1.9,0.0,10,7,    200
2026-01-30 13:42:07,1928146,1.9,0.0,10,7,    202
2026-01-30 13:42:09,1928146,2.0,0.0,10,9,    204
2026-01-30 13:42:11,1928146,2.0,0.0,10,9,    206
2026-01-30 13:42:13,1928146,2.0,0.0,10,9,    208
2026-01-30 13:42:15,1928146,2.0,0.0,10,9,    210
2026-01-30 13:42:17,1928146,1.9,0.0,10,9,    212
2026-01-30 13:42:20,1928146,1.9,0.0,10,9,    214
2026-01-30 13:42:22,1928146,1.9,0.0,10,9,    216
2026-01-30 13:42:24,1928146,1.9,0.0,10,9,    218
2026-01-30 13:42:26,1928146,2.0,0.0,11,2,    221
2026-01-30 13:42:28,1928146,2.0,0.0,11,2,    223
2026-01-30 13:42:30,1928146,2.0,0.0,11,2,    225
2026-01-30 13:42:32,1928146,2.0,0.0,11,2,    227
2026-01-30 13:42:34,1928146,1.9,0.0,11,2,    229
2026-01-30 13:42:36,1928146,1.9,0.0,11,2,    231
2026-01-30 13:42:38,1928146,1.9,0.0,11,2,    233
2026-01-30 13:42:40,1928146,1.9,0.0,11,2,    235
2026-01-30 13:42:43,1928146,2.0,0.0,11,5,    237
2026-01-30 13:42:45,1928146,2.0,0.0,11,5,    239
2026-01-30 13:42:47,1928146,2.0,0.0,11,5,    241
2026-01-30 13:42:49,1928146,2.0,0.0,11,5,    243
2026-01-30 13:42:51,1928146,1.9,0.0,11,5,    246
2026-01-30 13:42:53,1928146,1.9,0.0,11,5,    248
2026-01-30 13:42:55,1928146,1.9,0.0,11,5,    250
2026-01-30 13:42:57,1928146,1.9,0.0,11,5,    252
2026-01-30 13:42:59,1928146,2.0,0.0,11,8,    254
2026-01-30 13:43:01,1928146,2.0,0.0,11,8,    256
2026-01-30 13:43:03,1928146,2.0,0.0,11,8,    258
2026-01-30 13:43:06,1928146,2.0,0.0,11,8,    260
2026-01-30 13:43:08,1928146,2.0,0.0,11,8,    262
2026-01-30 13:43:10,1928146,1.9,0.0,11,8,    264
2026-01-30 13:43:12,1928146,1.9,0.0,11,8,    266
2026-01-30 13:43:14,1928146,1.9,0.0,11,8,    269
2026-01-30 13:43:16,1928146,2.0,0.0,12,0,    271
2026-01-30 13:43:18,1928146,2.0,0.0,12,1,    273
2026-01-30 13:43:20,1928146,2.0,0.0,12,1,    275
2026-01-30 13:43:22,1928146,2.0,0.0,12,1,    277
2026-01-30 13:43:24,1928146,2.0,0.0,12,1,    279
2026-01-30 13:43:26,1928146,1.9,0.0,12,1,    281
2026-01-30 13:43:29,1928146,1.9,0.0,12,1,    283
2026-01-30 13:43:31,1928146,1.9,0.0,12,1,    285
2026-01-30 13:43:33,1928146,2.0,0.0,12,2,    287
2026-01-30 13:43:35,1928146,2.0,0.0,12,3,    290
2026-01-30 13:43:37,1928146,2.0,0.0,12,3,    292
2026-01-30 13:43:39,1928146,2.0,0.0,12,3,    294
2026-01-30 13:43:41,1928146,2.0,0.0,12,3,    296
2026-01-30 13:43:43,1928146,2.0,0.0,12,3,    298
2026-01-30 13:43:45,1928146,1.9,0.0,12,3,    300
