timestamp,pid,cpu_percent,mem_percent,mem_mb,uptime_sec
2026-02-04 22:21:45,335339,6.5,0.0,8,7,     23
2026-02-04 22:21:48,335339,5.9,0.0,8,6,     25
2026-02-04 22:21:50,335339,5.5,0.0,8,6,     27
2026-02-04 22:21:52,335339,5.1,0.0,8,6,     29
2026-02-04 22:21:54,335339,4.7,0.0,8,6,     31
2026-02-04 22:21:56,335339,4.4,0.0,8,6,     33
2026-02-04 22:21:58,335339,4.2,0.0,8,6,     35
2026-02-04 22:22:00,335339,3.9,0.0,8,6,     37
2026-02-04 22:22:02,335339,4.6,0.0,9,5,     39
2026-02-04 22:22:04,335339,5.2,0.0,9,6,     42
2026-02-04 22:22:07,335339,5.0,0.0,9,6,     44
2026-02-04 22:22:09,335339,4.8,0.0,9,6,     46
2026-02-04 22:22:11,335339,4.6,0.0,9,6,     48
2026-02-04 22:22:13,335339,4.4,0.0,9,6,     50
2026-02-04 22:22:15,335339,4.2,0.0,9,6,     52
2026-02-04 22:22:17,335339,4.0,0.0,9,6,     54
2026-02-04 22:22:19,335339,3.9,0.0,9,6,     56
2026-02-04 22:22:21,335339,3.8,0.0,10,9,     58
2026-02-04 22:22:23,335339,3.6,0.0,10,9,     60
2026-02-04 22:22:25,335339,3.5,0.0,10,9,     62
2026-02-04 22:22:27,335339,3.4,0.0,10,9,     64
2026-02-04 22:22:29,335339,3.3,0.0,10,9,     67
2026-02-04 22:22:32,335339,3.2,0.0,10,9,     69
2026-02-04 22:22:34,335339,3.1,0.0,10,9,     71
2026-02-04 22:22:36,335339,3.4,0.0,11,7,     73
2026-02-04 22:22:38,335339,3.8,0.0,11,9,     75
2026-02-04 22:22:40,335339,4.0,0.0,12,0,     77
2026-02-04 22:22:42,335339,3.9,0.0,12,0,     80
2026-02-04 22:22:44,335339,3.8,0.0,12,0,     82
2026-02-04 22:22:47,335339,3.7,0.0,12,0,     84
2026-02-04 22:22:49,335339,3.6,0.0,12,0,     86
2026-02-04 22:22:51,335339,3.5,0.0,12,0,     88
2026-02-04 22:22:53,335339,3.4,0.0,12,0,     90
2026-02-04 22:22:55,335339,3.5,0.0,12,7,     92
2026-02-04 22:22:57,335339,3.8,0.0,12,8,     94
2026-02-04 22:22:59,335339,4.1,0.0,12,9,     96
2026-02-04 22:23:01,335339,4.0,0.0,12,9,     99
2026-02-04 22:23:04,335339,3.9,0.0,12,9,    101
2026-02-04 22:23:06,335339,3.8,0.0,12,9,    103
2026-02-04 22:23:08,335339,3.7,0.0,12,9,    105
2026-02-04 22:23:10,335339,3.7,0.0,12,9,    107
2026-02-04 22:24:12,348938,6.0,0.0,7,6,     11
2026-02-04 22:24:14,348938,5.0,0.0,7,6,     13
2026-02-04 22:24:16,348938,4.3,0.0,7,6,     15
2026-02-04 22:24:18,348938,3.8,0.0,7,6,     17
2026-02-04 22:24:20,348938,4.4,0.0,8,4,     19
2026-02-04 22:24:22,348938,5.9,0.0,8,6,     21
2026-02-04 22:24:24,348938,5.6,0.0,8,5,     24
2026-02-04 22:24:27,348938,5.1,0.0,8,5,     26
2026-02-04 22:24:29,348938,4.7,0.0,8,5,     28
2026-02-04 22:24:31,348938,4.4,0.0,8,5,     30
2026-02-04 22:24:33,348938,4.1,0.0,8,5,     32
2026-02-04 22:24:35,348938,3.9,0.0,8,5,     34
2026-02-04 22:24:37,348938,3.7,0.0,8,5,     36
2026-02-04 22:24:39,348938,4.2,0.0,9,3,     38
2026-02-04 22:24:41,348938,4.9,0.0,9,4,     40
2026-02-04 22:24:43,348938,4.7,0.0,9,4,     42
2026-02-04 22:24:45,348938,4.5,0.0,9,4,     44
2026-02-04 22:24:47,348938,4.3,0.0,9,4,     47
2026-02-04 22:24:50,348938,4.1,0.0,9,4,     49
2026-02-04 22:24:52,348938,3.9,0.0,9,4,     51
2026-02-04 22:24:54,348938,3.8,0.0,9,4,     53
2026-02-04 22:24:56,348938,3.6,0.0,9,4,     55
2026-02-04 22:24:58,348938,4.1,0.0,10,2,     57
2026-02-04 22:25:00,348938,4.5,0.0,10,3,     59
2026-02-04 22:25:02,348938,4.3,0.0,10,3,     61
2026-02-04 22:25:04,348938,4.2,0.0,10,3,     63
2026-02-04 22:25:06,348938,4.1,0.0,10,3,     65
2026-02-04 22:25:08,348938,3.9,0.0,10,3,     67
2026-02-04 22:25:11,348938,3.8,0.0,10,3,     70
2026-02-04 22:25:13,348938,3.7,0.0,10,3,     72
2026-02-04 22:25:15,348938,3.6,0.0,10,3,     74
2026-02-04 22:25:17,348938,4.0,0.0,11,1,     76
2026-02-04 22:25:19,348938,4.3,0.0,11,2,     78
2026-02-04 22:25:21,348938,4.2,0.0,11,2,     80
2026-02-04 22:25:23,348938,4.1,0.0,11,2,     82
2026-02-04 22:25:25,348938,4.0,0.0,11,2,     84
2026-02-04 22:25:27,348938,3.9,0.0,11,2,     86
2026-02-04 22:25:29,348938,3.8,0.0,11,2,     88
2026-02-04 22:25:31,348938,3.7,0.0,11,2,     91
2026-02-04 22:25:34,348938,3.6,0.0,11,9,     93
2026-02-04 22:25:36,348938,4.0,0.0,12,0,     95
2026-02-04 22:25:38,348938,4.2,0.0,12,1,     97
2026-02-04 22:25:40,348938,4.1,0.0,12,1,     99
2026-02-04 22:25:42,348938,4.0,0.0,12,1,    101
2026-02-04 22:25:44,348938,3.9,0.0,12,1,    103
2026-02-04 22:25:46,348938,3.8,0.0,12,1,    105
2026-02-04 22:25:48,348938,3.8,0.0,12,1,    107
2026-02-04 22:25:50,348938,3.7,0.0,12,1,    109
2026-02-04 22:25:52,348938,3.7,0.0,12,8,    112
2026-02-04 22:25:55,348938,4.0,0.0,13,0,    114
2026-02-04 22:25:57,348938,4.1,0.0,13,0,    116
2026-02-04 22:25:59,348938,4.0,0.0,13,0,    118
2026-02-04 22:26:01,348938,3.9,0.0,13,0,    120
2026-02-04 22:26:03,348938,3.9,0.0,13,0,    122
2026-02-04 22:26:05,348938,3.8,0.0,13,0,    124
2026-02-04 22:26:07,348938,3.7,0.0,13,0,    126
2026-02-04 22:26:09,348938,3.7,0.0,13,0,    128
2026-02-04 22:26:11,348938,3.7,0.0,13,7,    131
2026-02-04 22:26:14,348938,4.0,0.0,13,9,    133
2026-02-04 22:26:16,348938,4.0,0.0,13,9,    135
2026-02-04 22:26:18,348938,3.9,0.0,13,9,    137
2026-02-04 22:26:20,348938,3.9,0.0,13,9,    139
2026-02-04 22:26:22,348938,3.8,0.0,13,9,    141
2026-02-04 22:26:24,348938,3.7,0.0,13,9,    143
2026-02-04 22:26:26,348938,3.7,0.0,13,9,    145
2026-02-04 22:26:28,348938,3.6,0.0,13,9,    147
2026-02-04 22:26:31,348938,3.8,0.0,14,6,    150
2026-02-04 22:26:33,348938,4.0,0.0,14,7,    152
2026-02-04 22:26:35,348938,3.9,0.0,14,7,    154
2026-02-04 22:26:37,348938,3.9,0.0,14,7,    156
2026-02-04 22:26:39,348938,3.8,0.0,14,7,    158
2026-02-04 22:26:41,348938,3.8,0.0,14,7,    160
2026-02-04 22:26:43,348938,3.7,0.0,14,7,    162
2026-02-04 22:26:45,348938,3.7,0.0,14,7,    164
2026-02-04 22:26:47,348938,3.6,0.0,14,7,    166
2026-02-04 22:26:49,348938,3.8,0.0,15,7,    168
2026-02-04 22:26:51,348938,3.7,0.0,15,7,    170
2026-02-04 22:26:54,348938,3.7,0.0,15,7,    173
2026-02-04 22:26:56,348938,3.6,0.0,15,7,    175
2026-02-04 22:26:58,348938,3.6,0.0,15,7,    177
2026-02-04 22:27:00,348938,3.5,0.0,15,7,    179
2026-02-04 22:27:02,348938,3.5,0.0,15,7,    181
2026-02-04 22:27:04,348938,3.5,0.0,15,7,    183
2026-02-04 22:27:06,348938,3.6,0.1,16,5,    185
2026-02-04 22:27:08,348938,3.6,0.1,16,5,    187
2026-02-04 22:27:10,348938,3.5,0.1,16,5,    189
2026-02-04 22:27:12,348938,3.5,0.1,16,5,    191
2026-02-04 22:27:14,348938,3.4,0.1,16,5,    193
2026-02-04 22:27:16,348938,3.4,0.1,16,5,    195
2026-02-04 22:27:18,348938,3.4,0.1,16,5,    198
2026-02-04 22:27:21,348938,3.3,0.1,16,5,    200
2026-02-04 22:27:23,348938,3.5,0.1,17,4,    202
2026-02-04 22:27:25,348938,3.4,0.1,17,4,    204
2026-02-04 22:27:27,348938,3.4,0.1,17,4,    206
2026-02-04 22:27:29,348938,3.4,0.1,17,4,    208
2026-02-04 22:27:31,348938,3.3,0.1,17,4,    210
2026-02-04 22:27:33,348938,3.3,0.1,17,4,    212
2026-02-04 22:27:35,348938,3.3,0.1,17,4,    214
2026-02-04 22:27:37,348938,3.2,0.1,17,4,    216
2026-02-04 22:27:39,348938,3.3,0.1,18,3,    218
2026-02-04 22:27:41,348938,3.3,0.1,18,3,    220
2026-02-04 22:27:43,348938,3.3,0.1,18,3,    222
